Cross,Replicate,Mother_strain,Father_strain,Treatment,Block,Gen_1,Gen_2,Gen_3,Gen_4,Gen_5,Gen_6,Gen_7,Gen_8,Gen_9,Gen_10,Gen_11,Gen_12,Gen_13,Gen_14,Gen_15,Gen_16,Gen_17,Gen_18,Gen_19,Gen_20
15,11,P1_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,12,P1_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,13,P1_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,P1_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,16,P1_3xp_male,P3_UBI_male,Male,2,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,17,P1_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,19,P1_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,13,P3_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,14,P3_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,17,P3_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA
16,18,P3_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,19,P3_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,20,P3_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA
16,22,P3_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NO,NA,NA,NA,NA,NA
17,11,P1_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
17,13,P1_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,15,P1_3xp_male,P4_UBI_male,Male,2,NO,NO,FEMALE,NA,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,16,P1_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,P1_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA
17,19,P1_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,21,P1_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,11,P4_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA
18,12,P4_UBI_male,P1_3xp_male,Male,2,FEMALE,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,13,P4_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,15,P4_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA
18,16,P4_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,P4_UBI_male,P1_3xp_male,Male,2,NO,NO,FEMALE,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,19,P4_UBI_male,P1_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,11,P2_3xp_male,P3_UBI_male,Male,2,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,12,P2_3xp_male,P3_UBI_male,Male,2,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,16,P2_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
19,17,P2_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,18,P2_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,FEMALE,NO,NO,FEMALE,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA
19,19,P2_3xp_male,P3_UBI_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,13,P3_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,14,P3_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA
20,15,P3_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,16,P3_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,17,P3_UBI_male,P2_3xp_male,Male,2,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,18,P3_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,FEMALE,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA
20,19,P3_UBI_male,P2_3xp_male,Male,2,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,15,P2_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,16,P2_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,17,P2_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,20,P2_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,P2_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA
21,22,P2_3xp_male,P4_UBI_male,Male,2,NO,NO,NO,NA,NO,NO,FEMALE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,11,P4_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,FEMALE,NO,NO,NO,NO,NO,NO,NO,NO,NO
22,12,P4_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,13,P4_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,14,P4_UBI_male,P2_3xp_male,Male,2,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,15,P4_UBI_male,P2_3xp_male,Male,2,NO,NO,NO,NA,NO,NO,NO,NO,NO,NO,NO,NO,NO,FEMALE,NO,NA,NA,NA,NA,NA
